,job_titel,company_name,Loction,salery,other_role
1987,Helper,HC Malhotra Furniture,Gurjar ki Tadi,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1988,CNC Machine Operator,Sugs Lloyd,Manesar,"₹12,000 - ₹13,000",Full time  No test required  Freshers only
1989,Customer Care Executive,Human Before Resource Private Limited,Ashok Nagar,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1990,Telesales Representative,Money Empire,Gaur City 2,"₹8,000 - ₹16,000",Full time  No test required  Freshers only
1991,Personal Secretary,Indian Ecstasies,Dombivli,"₹11,000 - ₹15,000",Part time  No test required  Freshers only
1992,BPO Telecaller,Agbh Intehire Private Limited,Nagashettyhalli,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
1993,Helper,HC Malhotra Furniture,Gurjar ki Tadi,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
1994,Customer Care Executive,Human Before Resource Private Limited,Ashok Nagar,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
1995,Telecaller Outbound,Advance Bpo,Surat (Work from home),"₹7,000 - ₹18,000",Night shift Full time  No test required  Freshers only
1996,CNC Machine Operator,Sugs Lloyd,Manesar,"₹12,000 - ₹13,000",Full time  No test required  Freshers only
1997,Telecaller,Vi (Vodafone Idea),Tughlaqabad,"₹10,000 - ₹16,000",Part time  No test required  Freshers only
1998,Waiter / Steward,Confused Genius,Aalathur IE,"₹12,500 - ₹13,000",Full time  No test required  Freshers only
1999,Packing Assistant,Cuddles Collections,Btm Layout,"₹12,000 - ₹13,000",Full time  No test required  Freshers only
2000,Customer Care Supervisor,Aksh Textile,Patna (Work from home),"₹11,000 - ₹13,000",Full time  No test required  Freshers only
2001,Security Guard,Aeroflot Security Service,Dunlop,"₹9,000 - ₹13,000",Full time  No test required  Freshers only
2002,Telecaller,Mainstar Solutions Private Limited,New Garia,"₹8,000 - ₹14,000",Full time  No test required  Freshers only
2003,Telecaller,Vi (Vodafone Idea),Tughlaqabad,"₹10,000 - ₹16,000",Part time  No test required  Freshers only
2004,Data Entry Executive,Horsepower Technology,Tegharia,"₹12,000 - ₹13,000",Full time  No test required  Freshers only
2005,Customer Support Executive,Ediq Technologies,Varanasi (Work from home),"₹8,000 - ₹13,000",Full time  No test required  Freshers only
2006,Account Assistant,Redwop Chemicals,Lodhika,"₹10,000 - ₹12,500",Full time  No test required  Freshers only
2007,Water Filter Technician,CIEL HR,Bannerghatta,"₹10,000 - ₹17,500",Full time  No test required  Freshers only
2008,Customer Relationship Officer,Velocrush Online Services,Worli,"₹10,500 - ₹12,500",Full time  No test required  Freshers only
2009,Mall Sales Executive,SS Service,Banjara Hills,"₹11,300 - ₹12,500",Full time  No test required  Freshers only
2010,Telesales Executive,Harisun Ceramic,Thaltej,"₹10,000 - ₹12,500",Full time  No test required  Freshers only
2011,Logistics Executive,Redwop Chemicals,Lodhika,"₹10,000 - ₹12,500",Full time  No test required  Freshers only
2012,Sales & Marketing Manager,Pukhraj Health Care Pvt Ltd,Adarsh Nagar,"₹5,500 - ₹14,500",Full time  No test required  Freshers only
2013,Cafe Staff,Aadarsh Food Stores,Sosyo Circle,"₹12,000 - ₹12,500",Full time  No test required  Freshers only
2014,Telecalling Executive,J.K.Enterprisers,Cuttack (Work from home),"₹7,000 - ₹14,000",Part time  No test required  Freshers only
2015,Admin Executive,Techno Power Aircons,Mandaveli,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2016,Telecalling Executive,Saishradha Hardware,Cuttack (Work from home),"₹7,000 - ₹13,200",Part time  No test required  Freshers only
2017,Telecalling Executive,Indiatradeport,Dwarka Mor,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2018,Tender Executive,Vaibhavi Furniture & Fabrication,Narol Circle,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2019,Field Service Technician,New Tech Innovation,Ernakulam,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2020,Back Office Coordinator,Phalange Industries,Vatva Railway Crossing,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2021,Field Service Technician,New Tech Innovation,Ernakulam,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2022,Telecalling Executive,Indiatradeport,Dwarka Mor,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2023,Tender Executive,Vaibhavi Furniture & Fabrication,Narol Circle,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2024,Back Office Coordinator,Phalange Industries,Vatva Railway Crossing,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2025,Telecalling Executive,Hanbaz India Manufacturing Llp,Kakkanad,"₹8,000 - ₹13,000",Full time  No test required  Freshers only
2026,Customer Care Executive,Five S Digital,Gokul,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2027,Customer Sales Executive,Reliance Retail,Naranpar,"₹11,500 - ₹12,000",Full time  No test required  Freshers only
2028,Business Development Executive (BDE),GK Industries,Ondipudur,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2029,Telesales Executive,Joy Riders,Heerapura,"₹8,000 - ₹20,000",Full time  No test required  Freshers only
2030,Mechanical Engineer,Creative Engineering,Udhna,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2031,Telecalling Executive,Debt Management Services,DLF Phase 1 (Rapid Metro),"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2032,Automobile Mechanic,Teamlease Services Pvt Ltd.,Medchal,"₹11,000 - ₹12,000",Full time  No test required  Freshers only
2033,Computer Operator,ARP Enterprises,Jagatpura,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2034,Telesales Executive,Spaceheight Global Outsourcing Solution,Sector 17b/18 Gurgaon,"₹8,000 - ₹14,000",Full time  No test required  Freshers only
2035,Accountant,Raest Industries,Ghaziabad,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2036,Telecaller,Samaksh Associate,Malviya Nagar,"₹7,500 - ₹12,000",Full time  No test required  Freshers only
2037,Interior Designer,Nakshatra Interior and Consultants,Atmaram Tower,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2038,Receptionist Cum Telecaller,DOE,Gulbai Tekra,"₹9,000 - ₹17,000",Full time  No test required  Freshers only
2039,Telecaller,Vna Interior & Developers Private Limited,Victoria Memorial,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2040,QA / QC Executive,Victor,MIDC Bhosari,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2041,Telecalling Executive,AR Pharmacy and Pharma Agency,Gomti Nagar,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2042,Telecaller,Vna Interior & Developers Private Limited,Victoria Memorial,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2043,Receptionist Cum Telecaller,DOE,Gulbai Tekra,"₹9,000 - ₹17,000",Full time  No test required  Freshers only
2044,Documentation Officer,Link India International,Hbr Layout,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2045,RO Technician,Teamlease Services Pvt Ltd.,Sanjeevaiah Park,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2046,Front Office Executive cum Admin,Choice Equity Broking Private Limited,Uttarahalli,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2047,Customer Care Executive,Five S Digital,Gokul,"₹10,000 - ₹15,000",Night shift Full time  No test required  Freshers only
2048,Sales & Marketing Executive,Indian Tours And Travels,Kasba,"₹8,000 - ₹16,000",Full time  No test required  Freshers only
2049,Telecalling Executive,Soni Fincorp Services,Virar West,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2050,Customer Care Executive,Dadhich Technologies Opc,Medi Point Hospital,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2051,Debt Recovery Agent,Saanvi Enterprises,Semalya Raimal,"₹10,000 - ₹13,000",Full time  No test required  Freshers only
2052,Back Office Sales Coordinator,Samvin Engineering,Kandivali East,"₹7,000 - ₹12,000",Full time  No test required  Freshers only
2053,Digital Marketing Intern,Betel Digital Solutions,5 Wa Mile,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2054,Telecaller Outbound,Sri Vari Communication,Aminjikarai,"₹8,000 - ₹15,000",Full time  No test required  Freshers only
2055,Direct Sales Representative,Artha Amogha Apparels (Opc) Private Limited,Avinashi Road,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2056,Sales & Marketing Executive,Indian Tours And Travels,Kasba,"₹8,000 - ₹16,000",Full time  No test required  Freshers only
2057,Telecalling Executive,Soni Fincorp Services,Virar West,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2058,Account Executive,Mahabir Design and Construction,Noida Sector 137,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2059,Customer Care Executive,Dadhich Technologies Opc,Medi Point Hospital,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2060,Telecalling Executive,Sri Motors,Anna Nagar Tower,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2061,Back Office Staff,Cp Advisor Financial Service,Jetalpur road,"₹8,000 - ₹32,000",Full time  No test required  Freshers only
2062,Accountant Cum Office Assistant,VJ New Infraventure,Indira Nagar,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2063,Telecaller Outbound,Unity Wealth Creator,Janak Puri West,"₹9,000 - ₹14,000",Full time  No test required  Freshers only
2064,Customer Sales Executive,Taurus Bpo Services India Llp,Domlur,"₹11,000 - ₹13,000",Full time  No test required  Freshers only
2065,Backend Executive,Dr Reddys Laboratories,Lakhanpur,"₹6,000 - ₹14,000",Full time  No test required  Freshers only
2066,Account Admin,Shivshakti Paints,Dhayari Gaon,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2067,Care Taker,SPHC,Bibipur,"₹9,000 - ₹12,000",Full time  No test required  Freshers only
2068,Website Developer,Conocedor Productions,Canada Corner,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2069,Tech Support Executive,Habuild Healthtech Private Limited,Ganeshpeth Colony,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2070,Customer Sales Executive,Taurus Bpo Services India Llp,Domlur,"₹11,000 - ₹13,000",Full time  No test required  Freshers only
2071,Telecaller Outbound,Unity Wealth Creator,Janak Puri West,"₹9,000 - ₹14,000",Full time  No test required  Freshers only
2072,Computer Hardware Engineer,V.P.Sales And Services,Sadar,"₹7,000 - ₹12,000",Full time  No test required  Freshers only
2073,Customer Sales Executive,Reliance Retail,Sneh Plaza,"₹11,000 - ₹12,000",Full time  No test required  Freshers only
2074,Accountant,Sharp Accountants,"Tilak Nagar, Delhi","₹10,000 - ₹12,000",Full time  No test required  Freshers only
2075,Care Taker,SPHC,Bibipur,"₹9,000 - ₹12,000",Full time  No test required  Freshers only
2076,Backend Executive,Dr Reddys Laboratories,Lakhanpur,"₹6,000 - ₹14,000",Full time  No test required  Freshers only
2077,Telecaller,Maidwale Consultancy India Private Limited,Khar West,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2078,Account Admin,Shivshakti Paints,Dhayari Gaon,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2079,Junior Account Executive,Mannat Enterprises,Haiderpur Badli Mor,"₹5,000 - ₹12,000",Full time  No test required  Freshers only
2080,Back Office Staff,Smart Money Financial Services,Manish Nagar,"₹8,000 - ₹27,000",Full time  No test required  Freshers only
2081,Office Admin,Kamala Transport Service,Vadapalani,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2082,Business Consultant,Tokyo Info Solutions India,Anna Salai,"₹8,000 - ₹42,000",Full time  No test required  Freshers only
2083,Graphic Designer,Thought River Edutech,Yeshoda Niwas,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2084,Electrical / Electronics Engineer,Electroware,Sarasbaug,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2085,Personal Secretary,Triz Systems,Velu Phata,"₹9,000 - ₹12,000",Full time  No test required  Freshers only
2086,Office Admin,Kamala Transport Service,Vadapalani,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2087,Graphic Designer,Thought River Edutech,Yeshoda Niwas,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2088,Back Office Staff,Cp Advisor Financial Service,Jetalpur road,"₹8,000 - ₹32,000",Full time  No test required  Freshers only
2089,Accountant Cum Office Assistant,VJ New Infraventure,Indira Nagar,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2090,Telecaller,G R International,Peera Garhi,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2091,Labour Helper/Mazdoor,BSS Hospitality Private Limited,Sector No 19 (Vashi),"₹9,700 - ₹12,000",Full time  No test required  Freshers only
2092,Graphic Designer,Bhairav Offset,Pabupura Bhatan,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2093,Telecaller Outbound,Tayal and Sons,EAST KRISHNA NAGAR,"₹8,000 - ₹14,000",Part time  No test required  Freshers only
2094,Telecalling Executive,Adidev Engineering Private Limited,Bhubaneswar (Work from home),"₹6,000 - ₹14,000",Full time  No test required  Freshers only
2095,Customer Care Executive,Five S Digital,Gokul,"₹12,000 - ₹14,000",Night shift Full time  No test required  Freshers only
2096,Purchase Executive,Victor,MIDC Bhosari,"₹10,000 - ₹27,000",Full time  No test required  Freshers only
2097,Customer Support Executive,G1Solutions (Opc) Private Limited,Villivakkam,"₹10,000 - ₹13,000",Full time  No test required  Freshers only
2098,Personal Secretary,Triz Systems,Velu Phata,"₹9,000 - ₹12,000",Full time  No test required  Freshers only
2099,Printing Machine Operator,WeMee Store,Karve Nagar,"₹6,000 - ₹13,000",Part time  No test required  Freshers only
2100,Content Writer,Work Strive,College Square,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2101,Telecaller Inbound,Niraamay Wellness Center,Natu Baug,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2102,Computer Hardware Engineering Technician,M/S Printcom Services,Ghaziabad Sector 22,"₹8,000 - ₹16,000",Part time  No test required  Freshers only
2103,Office Helper,M/s KD Bottle Company,Parade,"₹6,000 - ₹12,000",Full time  No test required  Freshers only
2104,Relationship Trainee,Rupeek Fintech,Ameerpet,"₹12,000 - ₹14,000",Full time  No test required  Freshers only
2105,Visa and Immigration Consultant,Secure Way Immigration,Sector 38 West chandigarh,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2106,Social Media Intern,Inmax Foods Private Limited,Shalimar Bagh BH-Block,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2107,Customer Care Executive,Five S Digital,Gokul,"₹12,000 - ₹14,000",Night shift Full time  No test required  Freshers only
2108,Content Writer,Work Strive,College Square,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2109,Printing Machine Operator,WeMee Store,Karve Nagar,"₹6,000 - ₹13,000",Part time  No test required  Freshers only
2110,Telecaller Inbound,Niraamay Wellness Center,Natu Baug,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2111,Customer Sales Executive,Reliance Retail,Dariyapur Tower,"₹11,500 - ₹12,000",Full time  No test required  Freshers only
2112,Customer Sales Executive,Reliance Retail,Dariyapur Tower,"₹11,500 - ₹12,000",Full time  No test required  Freshers only
2113,Customer Care Officer,Pace Business Solution,Vikhroli West,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2114,Customer Sales Executive,Reliance Retail,Prabhupura,"₹11,500 - ₹12,000",Full time  No test required  Freshers only
2115,Social Media Intern,Inmax Foods Private Limited,Shalimar Bagh BH-Block,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2116,Visa and Immigration Consultant,Secure Way Immigration,Sector 38 West chandigarh,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2117,Biomedical Engineer,Pramukh Technical and Calibration Centre,Asarwa Overbridge,"₹12,000 - ₹12,000",Full time  No test required  Freshers only
2118,Housekeeping Boy,Clear Skin Private Limited,Paranjpe Scheme,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2119,Telecalling Executive,Global HR Solution,Indiranagar,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2120,Customer Care Officer,Pace Business Solution,Mangatram Petrol Pump,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2121,Kitchen Staff,Watermart Retail India,Marathahalli,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2122,Telecaller Cum Computer Operator,Zindagi Trip,Shinde Ki Chhawani,"₹8,000 - ₹14,000",Full time  No test required  Freshers only
2123,Office Boy / Peon,Namuna Wearable Art,Rajpur Road,"₹10,000 - ₹13,000",Full time  No test required  Freshers only
2124,Sales Executive,Domain Equipments,Goregaon East,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2125,Typist,Bhoote & Co.,Wilson Garden 10th Cross,"₹10,000 - ₹13,000",Full time  No test required  Freshers only
2126,Telesales Executive,Uttam Financial Services,Gomti Nagar,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
2127,Food And Beverage Captain,Day 1 Food Matrix,Peera Garhi,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2128,Telecaller,CarX,"Electronic City, Bangalore","₹10,000 - ₹14,000",Full time  No test required  Freshers only
2129,Telecalling Executive,IIFL,Vijay Nagar,"₹8,000 - ₹14,000",Full time  No test required  Freshers only
2130,Restaurant Helper,Kosigi Military Hotel,Kondapur,"₹10,000 - ₹13,000",Night shift Full time  No test required  Freshers only
2131,Sales Executive,Domain Equipments,Goregaon East,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2132,Telecaller Cum Computer Operator,Zindagi Trip,Shinde Ki Chhawani,"₹8,000 - ₹14,000",Full time  No test required  Freshers only
2133,Receptionist,Dtdc Express Limited,Cunningham Road,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2134,Restaurant Helper,Kosigi Military Hotel,Kondapur,"₹10,000 - ₹13,000",Night shift Full time  No test required  Freshers only
2135,Collection Telecaller,Prerna Enterprises,Virar,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2136,Receptionist / Front Office Executive,Delhi Photography Services,Abdullapur Basti Near Preet Cinema,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2137,Electrical Technician,Opera Gratia,LOCALITY,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2138,Accountant/ Accounts Executive,Fullfill & File Tax And Compliance Services Private Limited,Secunderabad,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2139,Sales Executive,Aceaaro India Private Limited,Chandmari,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2140,Back Office Staff,Reliable Data Services (Reliable Group India),Nandanam,"₹11,000 - ₹15,000",Part time  No test required  Freshers only
2141,Telecaller,Krrishta Labs,Panchkula chandigarh,"₹8,000 - ₹13,000",Full time  No test required  Freshers only
2142,Telecalling Executive,Money Solution,C-Scheme,"₹8,000 - ₹22,000",Full time  No test required  Freshers only
2143,Office Boy,Thamalam Sidhartha Reddy,K.P.H.B. Colony,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2144,BPO Telecaller,S Square Associates,Ameerpet,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2145,Receptionist Cum Office Assistant,Ezhealth Clinic,Ahinsa Khand I,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2146,Talent Acquisition Executive,Codeapp Technologies,Sector 74 mohali,"₹10,000 - ₹14,000",Full time  No test required  Freshers only
2147,Research Executive,Aakaar Biotechnologies Private Limited,Raipur,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2148,Graphic Design Intern,Customade Creations,Anjeer Wadi,"₹10,000 - ₹15,000",Full time  No test required  Freshers only
2149,Telecaller,Dream Realty,Naigaon East,"₹8,000 - ₹17,000",Full time  No test required  Freshers only
2150,Telecalling Executive,Sudarsanam & Associates,Mount Road,"₹12,000 - ₹12,000",Full time  No test required  Freshers only
2151,PHP Laravel Developer,Four Friends,Bengaluru (Work from home),"₹10,000 - ₹12,000",Part time  No test required  Freshers only
2152,Graphic Designer Intern,Rejoice Realm,Whitefield,"₹4,000 - ₹12,000",Part time  No test required  Freshers only
2153,Data Entry Operator,Kin Kob Kreations,Hingna MIDC,"₹7,000 - ₹13,000",Full time  No test required  Freshers only
2154,Back Office Staff,Yug Worldwide Services,Nizampura,"₹7,000 - ₹12,000",Full time  No test required  Freshers only
2155,Telecaller,H&R Enterprises,Dudheshwar,"₹8,000 - ₹13,000",Full time  No test required  Freshers only
2156,Telecalling Executive,M/s MP Store,Patna (Work from home),"₹10,000 - ₹12,000",Part time  No test required  Freshers only
2157,Customer Care Executive,Insight Customer Call Solutions,"Sector 2 , Noida","₹10,000 - ₹12,000",Full time  No test required  Freshers only
2158,PHP Developer,Kavya Technosoft,Idgah Hills,"₹7,500 - ₹13,500",Part time  No test required  Freshers only
2159,Helper,Ansari Garment,Mumbai (Work from home),"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2160,Telecaller Outbound,M/S Bankas Solution,Ulubari,"₹8,000 - ₹14,000",Full time  No test required  Freshers only
2161,Telecaller Cum Computer Operator,The Corner House,Feroze Gandhi Market,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2162,Store Helper,Rama Flour Mill,Industrial Area Phase I and II chandigarh,"₹9,000 - ₹14,000",Full time  No test required  Freshers only
2163,Office Assistant,KL Auto Agencies,Fazalganj,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2164,Content Writer,SA Solution,New Barrackpore,"₹11,000 - ₹14,000",Full time  No test required  Freshers only
2165,Technician Helper,Fresh Air System,Delhi-NCR,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2166,Electronics Technician,Hytech Micro Measurement,Malviya Nagar,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2167,Technical Support Executive,Ankursoft Information and Technologies,Panvel East,"₹12,000 - ₹13,000",Full time  No test required  Freshers only
2168,Technician Helper,Rupali Aquatech,Bhiwandi East,"₹12,000 - ₹12,000",Full time  No test required  Freshers only
2169,Telecaller,MS Industries,Kolkata (Work from home),"₹10,000 - ₹15,000",Part time  No test required  Freshers only
2170,HR Recruiter,Exxence Digital India Private Limited,Delhi-NCR (Work from home),"₹8,000 - ₹14,000",Part time  No test required  Freshers only
2171,Telesales Executive,Victory Terminal Financial Services,Vijay Nagar,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2172,Telecaller,Om Muruga Enterprises,Vadapalani,"₹10,000 - ₹27,000",Full time  No test required  Freshers only
2173,Digital Marketing Intern,Millennium Automation,Okhla,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2174,Office Assistant,Satyam Career Vision Classes,Triveni Nagar,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2175,Back Office Coordinator,U.K Cold Pyrotech,Ghaziabad,"₹9,000 - ₹17,000",Full time  No test required  Freshers only
2176,Customer Care Executive,Cavalry Info Private Limited,Punjagutta,"₹9,250 - ₹16,000",Full time  No test required  Freshers only
2177,Telecaller,MS Industries,Delhi-NCR (Work from home),"₹10,000 - ₹16,000",Part time  No test required  Freshers only
2178,Telecalling Executive,AB Medicos,Prayagraj (Work from home),"₹10,000 - ₹12,000",Part time  No test required  Freshers only
2179,Data Entry Operator,VIstaar financial services,Mahadeshwara Nagara 16th Main,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2180,Telecalling Executive,AB Medicos,Varanasi (Work from home),"₹10,000 - ₹12,000",Part time  No test required  Freshers only
2181,Receptionist cum Office Admin Assistant,Trisect Global,Thane,"₹10,000 - ₹13,000",Full time  No test required  Freshers only
2182,Office Boy,Fortuna Conect,Nagarabhavi Bda Complex,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2183,Telecalling Executive,Kedar Cyberspace Care,N.H.P.C. Chowk,"₹10,000 - ₹22,000",Full time  No test required  Freshers only
2184,Maid,Torqbolt Private Limited,Jacob Circle,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2185,Data Entry Operator,A & P Enterprises,Bahadurgarh,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2186,Telecaller,New Shiva Motors,Zirakpur chandigarh,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
2187,Admin Executive,"M/S.,Greendazzle Corporate Service Pvt Ltd",Anna Nagar,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2188,Desktop Support Engineer,Sv It Solutions,Pimpri,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2189,Maid,Torqbolt Private Limited,Jacob Circle,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2190,Telecalling Executive,Kedar Cyberspace Care,N.H.P.C. Chowk,"₹10,000 - ₹22,000",Full time  No test required  Freshers only
2191,Telecaller,New Shiva Motors,Zirakpur chandigarh,"₹10,000 - ₹18,000",Full time  No test required  Freshers only
2192,Admin Executive,"M/S.,Greendazzle Corporate Service Pvt Ltd",Anna Nagar,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2193,Telecaller,MS Industries,Kolkata (Work from home),"₹10,000 - ₹15,000",Part time  No test required  Freshers only
2194,Technician Helper,Rupali Aquatech,Bhiwandi East,"₹12,000 - ₹12,000",Full time  No test required  Freshers only
2195,Customer Care Executive,Cavalry Info Private Limited,Punjagutta,"₹9,250 - ₹16,000",Full time  No test required  Freshers only
2196,Store Helper,M/s Hasmuddin Engineering Works,Pari Chowk Greater Noida,"₹8,000 - ₹13,500",Full time  No test required  Freshers only
2197,Associate,Quess Corp Limited,Civil Lines,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2198,Store Helper,Nagpal Frozen Food,Sector 20 Panchkula,"₹10,000 - ₹12,000",Part time  No test required  Freshers only
2199,Office Boy / Peon,Plus Education,Navrangpura,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2200,Sales Executive,Pooja Fancy & Gift Gallery,Bilekhalli,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2201,Content Writer,Ediq Technologies,Varanasi (Work from home),"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2202,Telecaller Inbound,Bhs Financial Services,Marathahalli,"₹10,000 - ₹17,000",Full time  No test required  Freshers only
2203,Administrative Receptionist,Ur'S Toothfully Dental Clinic,Shakespeare Sarani Rd,"₹8,000 - ₹12,000",Full time  No test required  Freshers only
2204,Shop Helper,3BeesToys Market,Work Shop,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2205,Sales & Marketing Executive,Indian Tours And Travels,Kasba,"₹8,000 - ₹16,000",Full time  No test required  Freshers only
2206,Customer Sales Executive,Reliance Retail,Sector 68 / B.S.F Camp Gurgaon,"₹11,000 - ₹11,800",Full time  No test required  Freshers only
2207,Customer Sales Executive,Vsng Infratech Private Limited,Moghalrajpuram,"₹10,500 - ₹11,531",Full time  No test required  Freshers only
2208,Customer Sales Executive,Vsng Infratech Private Limited,Lakshmipuram,"₹10,500 - ₹11,500",Full time  No test required  Freshers only
2209,Showroom Sales Executive,Genius consultant ltd.,Kuvempunagar,"₹11,000 - ₹13,500",Full time  No test required  Freshers only
2210,Field Assistant,Vision Security Systems,Britania Factory,"₹9,500 - ₹11,500",Full time  No test required  Freshers only
2211,Physiotherapist,Dr Shishir Kumar Spine Clinic,Noida Sector 105,"₹10,000 - ₹12,000",Full time  No test required  Freshers only
2212,Delivery Boy,Universal Traders,Lake Town,"₹9,000 - ₹13,000",Full time  No test required  Freshers only
2213,BPO Telecaller,Tech Indiawide Solutions,Chheharta,"₹7,000 - ₹12,500",Full time  No test required  Freshers only
2214,Labour,Eco Tech Company,Good Earth City Centre Gurgaon,"₹10,000 - ₹11,000",Full time  No test required  Freshers only
2215,Jr. Accountant,Leadmonk Digital Private Limited,Sindhu Bhavan,"₹10,000 - ₹11,000",Full time  No test required  Freshers only
2216,Office Manager,Black Cube Technologies,VIP Road,"₹9,000 - ₹11,000",Full time  No test required  Freshers only
2217,Telecaller Outbound,Vision India,Rajpur,"₹10,000 - ₹11,000",Full time  No test required  Freshers only
2218,Dish Washer,4th Street Cafe,Preet Vihar,"₹9,500 - ₹11,000",Full time  No test required  Freshers only
