,job_titel,company_name,Loction,salery,other_role
366,Java Full-Stack Intern,Laurate Staffing,Yelahanka Kodigehalli Gate,"₹15,000 - ₹30,000",Part time  No test required  Freshers only
367,3D Designer,The Periphery Inc,Jagatpura,"₹15,000 - ₹30,000",Full time  No test required  Freshers only
368,Junior Software Tester,Arena Animation,Udupi Garden 16th Main,"₹25,000 - ₹30,000",Full time  No test required  Freshers only
369,Data Entry Operator,Inoventive Lights,Dehradun (Work from home),"₹15,000 - ₹35,000",Full time  No test required  Freshers only
370,Team Leader,Bharti Axa Life Insurance,Salt Lake City Sector 3,"₹20,000 - ₹45,000",Part time  No test required  Freshers only
371,Team Leader,Bharti Axa Life Insurance,Salt Lake City Sector 3,"₹20,000 - ₹45,000",Part time  No test required  Freshers only
372,Junior Software Tester,Arena Animation,Udupi Garden 16th Main,"₹25,000 - ₹30,000",Full time  No test required  Freshers only
373,Customer Care Executive,Inoventive Lights,Ludhiana (Work from home),"₹15,000 - ₹35,000",Full time  No test required  Freshers only
374,BPO Telecaller,Swift Spark Solutions,"Electronic City, Bangalore","₹15,000 - ₹30,000",Full time  No test required  Freshers only
375,Client Relationship Manager,Square Yards,Bengaluru,"₹21,000 - ₹40,000",Full time  No test required  Freshers only
376,Food Delivery Boy,S.S. Manpower Consultancy Services,Chaiteshwar Mahadev,"₹28,000 - ₹34,000",Part time  No test required  Freshers only
377,Business Development Associate,Byjus,Sector 22B chandigarh,"₹28,000 - ₹45,000",Full time  No test required  Freshers only
378,Telecaller,Mitra Solutions,CBD Belapur,"₹12,000 - ₹45,000",Full time  No test required  Freshers only
379,Business Development Executive (BDE),Andromeda Sales & Distribution Pvt Ltd,Kandivali,"₹15,000 - ₹55,000",Full time  No test required  Freshers only
380,Customer Care Executive,Inoventive Lights,Ludhiana (Work from home),"₹15,000 - ₹35,000",Full time  No test required  Freshers only
381,Civil Site Engineer,Dnb Constructions,"Isnapur, Hyderabad","₹20,000 - ₹40,000",Full time  No test required  Freshers only
382,Customer Care Supervisor,Bharti Axa Life Insurance,Dum Dum,"₹20,000 - ₹50,000",Part time  No test required  Freshers only
383,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Hyderabad (Work from home),"₹19,000 - ₹47,000",Full time  No test required  Freshers only
384,Security Guard,Jain General Store,"Burari, Delhi","₹25,000 - ₹30,000",Full time  No test required  Freshers only
385,Sales and Marketing Associate,Mhsv Advisory And Services Llp,"Ashok Nagar, Bangalore","₹15,000 - ₹60,000",Full time  No test required  Freshers only
386,Back Office Executive,Omni Tech,Kolkata (Work from home),"₹15,000 - ₹32,000",Part time  No test required  Freshers only
387,Administrative Receptionist,Tri Infinity,Ashok Nagar,"₹25,000 - ₹30,000",Full time  No test required  Freshers only
388,Food Delivery Boy,S.S. Manpower Consultancy Services,Chaiteshwar Mahadev,"₹28,000 - ₹34,000",Part time  No test required  Freshers only
389,Agency Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹20,000 - ₹50,000",Part time  No test required  Freshers only
390,Accountant Cum Office Assistant,IBEX Energy,Alandur,"₹17,500 - ₹30,000",Full time  No test required  Freshers only
391,Business Development Associate,Byjus,Sector 22B chandigarh,"₹28,000 - ₹45,000",Full time  No test required  Freshers only
392,Relationship Manager,Mandovi Motors,"St Johns Road, Bangalore","₹18,000 - ₹45,000",Full time  No test required  Freshers only
393,Telecalling Executive,777 Max,Bengaluru (Work from home),"₹15,000 - ₹40,000",Full time  No test required  Freshers only
394,Call Centre BPO Executive,A K Knitwears,Ludhiana (Work from home),"₹25,000 - ₹30,000",Part time  No test required  Freshers only
395,Food Delivery Boy,S.S. Manpower Consultancy Services,Sector 22B chandigarh,"₹27,000 - ₹34,000",Part time  No test required  Freshers only
396,Financial Consultant,Bajaj Allianz Life Insurance Company Limited,Bhilai (Work from home),"₹19,000 - ₹60,000",Full time  No test required  Freshers only
397,Digital Marketing Executive,Supea Weltczar,Karol Bagh,"₹18,000 - ₹30,000",Full time  No test required  Freshers only
398,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Delhi-NCR (Work from home),"₹19,000 - ₹80,000",Part time  No test required  Freshers only
399,MIS Executive,Vilcart Solutions,ViJayanagar,"₹18,000 - ₹30,000",Full time  No test required  Freshers only
400,Call Centre BPO Executive,A K Knitwears,Ludhiana (Work from home),"₹25,000 - ₹30,000",Part time  No test required  Freshers only
401,Relationship Manager,Mandovi Motors,"St Johns Road, Bangalore","₹18,000 - ₹45,000",Full time  No test required  Freshers only
402,Waiter,Sumangal Enterprises,Mumbai,"₹15,000 - ₹30,000",Full time  No test required  Freshers only
403,Sales Executive,Sapient Realty Solutions,Delhi-NCR (Work from home),"₹15,000 - ₹32,000",Full time  No test required  Freshers only
404,React Native Developer,Floworx Technologies Private Limited,Doddakallasandra,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
405,Sales & Marketing Executive,Gori Traders,Agra (Work from home),"₹25,000 - ₹32,500",Part time  No test required  Freshers only
406,Waiter,Sumangal Enterprises,Mumbai,"₹15,000 - ₹30,000",Full time  No test required  Freshers only
407,Sales Executive,Sapient Realty Solutions,Delhi-NCR (Work from home),"₹15,000 - ₹32,000",Full time  No test required  Freshers only
408,Sales Executive,SKD Leather India,Balaji Nagara,"₹20,000 - ₹40,000",Full time  No test required  Freshers only
409,React Native Developer,Floworx Technologies Private Limited,Doddakallasandra,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
410,Sales & Marketing Executive,Gori Traders,Agra (Work from home),"₹25,000 - ₹32,500",Part time  No test required  Freshers only
411,Telecalling Executive,Computer,Delhi-NCR (Work from home),"₹20,000 - ₹30,000",Full time  No test required  Freshers only
412,Back Office Executive,Swift Spark Solutions,"Electronic City, Bangalore","₹15,000 - ₹30,000",Full time  No test required  Freshers only
413,Receptionist / Front Office Executive,Inoventive Lights,Indore (Work from home),"₹15,000 - ₹35,000",Full time  No test required  Freshers only
414,Back Office Coordinator,Swift Spark Solutions,Vasantha Nagara,"₹15,000 - ₹30,000",Full time  No test required  Freshers only
415,Operation Executive,Tentacle Aerologistix,"Ashok Nagar, Bangalore","₹20,000 - ₹60,000",Full time  No test required  Freshers only
416,Call Centre BPO Executive,Inoventive Lights,Bhopal (Work from home),"₹20,000 - ₹38,000",Full time  No test required  Freshers only
417,Business Development Executive (BDE),RB Enterprise,Bengaluru (Work from home),"₹25,000 - ₹30,000",Part time  No test required  Freshers only
418,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Prayagraj (Work from home),"₹19,000 - ₹40,000",Full time  No test required  Freshers only
419,Chat Support Executive,Inoventive Lights,Varanasi (Work from home),"₹15,000 - ₹35,000",Full time  No test required  Freshers only
420,Accountant,Swift Spark Solutions,Vasantha Nagara,"₹14,000 - ₹30,000",Full time  No test required  Freshers only
421,BPO Telecaller,One Aidc Hightech,Gwalior (Work from home),"₹24,000 - ₹32,000",Part time  No test required  Freshers only
422,Healthcare Assistant,Flax Herbal Healthcare Opc,Delhi-NCR (Work from home),"₹15,000 - ₹35,000",Part time  No test required  Freshers only
423,Back Office Executive,Sushco Unicorn,Pune (Work from home),"₹12,000 - ₹36,000",Part time  No test required  Freshers only
424,Front Office Executive,One Aidc Hightech,Gwalior (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
425,Data Entry Operator,Datamatics India,Seawoods–Darave West,"₹17,000 - ₹33,000",Full time  No test required  Freshers only
426,Data Entry Operator,Datamatics India,Dighe,"₹17,000 - ₹33,000",Full time  No test required  Freshers only
427,Marketing Assistant,Mahindra and Mahindra,Akal Siya,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
428,Marketing Assistant,Mahindra and Mahindra,Gangai Badkheda,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
429,Marketing Assistant,Mahindra and Mahindra,Paltan Bazaar,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
430,Marketing Assistant,Mahindra and Mahindra,Gandhi Nagar,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
431,Marketing Assistant,Mahindra and Mahindra,Gorakhpur,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
432,Marketing Assistant,Mahindra and Mahindra,Varanasi Locality Maps,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
433,Marketing Assistant,Mahindra and Mahindra,Adlinat Colony,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
434,Marketing Assistant,Mahindra and Mahindra,Tatenga,"₹23,999 - ₹28,999",Full time  No test required  Freshers only
435,Relationship Officer,Days Wood Private Limited,Bahadurpur,"₹18,500 - ₹33,500",Full time  No test required  Freshers only
436,BPO Telecaller,Prime Services Pvt Ltd,Koramangala,"₹25,500 - ₹28,500",Full time  No test required  Freshers only
437,Field Sales Executive,Paytm,Amlaunipur,"₹19,500 - ₹33,000",Full time  No test required  Freshers only
438,Field Sales Executive,Paytm,"Subhash Nagar, Delhi","₹22,000 - ₹33,000",Full time  No test required  Freshers only
439,Digital Marketing Executive,Forenzy Networks,Padra Road,"₹15,000 - ₹40,000",Full time  No test required  Freshers only
440,Food Delivery Biker,Anamika Enterprises,Mangalabag,"₹18,000 - ₹30,000",Part time  No test required  Freshers only
441,Food Delivery Biker,Anamika Enterprises,Mangalabag,"₹18,000 - ₹30,000",Part time  No test required  Freshers only
442,Travel Executive,Sudhakar,Kochi (Work from home),"₹24,000 - ₹36,000",Full time  No test required  Freshers only
443,Management Trainee,Maxwell International,Kolkata,"₹7,500 - ₹33,000",Full time  No test required  Freshers only
444,Management Trainee,Maxwell International,Kolkata,"₹7,500 - ₹33,000",Full time  No test required  Freshers only
445,Data Entry Operator,Winoraa Marketing,Vijayawada (Work from home),"₹12,000 - ₹30,000",Full time  No test required  Freshers only
446,back-end executive,Swift Spark Solutions,Koramangala,"₹15,000 - ₹28,000",Full time  No test required  Freshers only
447,Management Trainee,Maxwell International,Kolkata,"₹7,500 - ₹33,000",Full time  No test required  Freshers only
448,Telecalling Executive,One Aidc Hightech,Gwalior (Work from home),"₹24,000 - ₹30,000",Part time  No test required  Freshers only
449,Business Development Executive,Gori Traders,Panipat (Work from home),"₹23,000 - ₹31,000",Part time  No test required  Freshers only
450,Telecalling Executive,Globe Capital Market Ltd,BHAJANPURA,"₹10,000 - ₹32,500",Part time  No test required  Freshers only
451,Loader And Unloader,Imbound Groups,Gomoh,"₹20,000 - ₹37,000",Full time  No test required  Freshers only
452,Sales & Marketing Manager,Gori Traders,Jodhpur (Work from home),"₹25,000 - ₹34,000",Full time  No test required  Freshers only
453,Sales and Marketing Executive,Narayan Traders,Surat (Work from home),"₹25,000 - ₹31,000",Part time  No test required  Freshers only
454,Back Office,VVS Enterprises,Swargate,"₹17,000 - ₹34,500",Part time  No test required  Freshers only
455,Management Trainee,Maxwell International,Kolkata,"₹7,500 - ₹33,000",Full time  No test required  Freshers only
456,Receptionist / Front Office Executive,One Aidc Hightech,Gwalior (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
457,Makeup Artist,One Aidc Hightech,Gwalior (Work from home),"₹24,000 - ₹30,000",Part time  No test required  Freshers only
458,Back Office Executive,Datamatics India,Thane,"₹14,000 - ₹28,000",Full time  No test required  Freshers only
459,Telecaller,Epstom Spec Chem,Powai Vihar Complex,"₹15,000 - ₹35,000",Full time  No test required  Freshers only
460,Account Relationship Executive,Ignites Human Capital Services Pvt Ltd,"Ashok Nagar, Bangalore","₹15,000 - ₹29,500",Night shift Full time  No test required  Freshers only
461,Receptionist / Front Office Executive,Decent Consultancy Services,Ghaziabad,"₹15,000 - ₹34,800",Full time  No test required  Freshers only
462,Management Assistant,Gori Traders,Ajmer (Work from home),"₹23,000 - ₹31,500",Part time  No test required  Freshers only
463,Marketing Intern,Kushisariram Technology,Prayagraj (Work from home),"₹23,000 - ₹30,000",Part time  No test required  Freshers only
464,Researcher,Kushisariram Technology,Agra (Work from home),"₹23,000 - ₹30,000",Part time  No test required  Freshers only
465,Team Leader,Kushisariram Technology,Ranchi (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
466,Project Manager,Kushisariram Technology,Gwalior (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
467,Data Entry / MIS,Kushisariram Technology,Prayagraj (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
468,Data Collection Executive,Kushisariram Technology,Agra (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
469,Chat Support Executive,Kushisariram Technology,Gwalior (Work from home),"₹23,000 - ₹30,000",Part time  No test required  Freshers only
470,Digital Marketing Intern,Kushisariram Technology,Ranchi (Work from home),"₹23,000 - ₹30,000",Part time  No test required  Freshers only
471,Content Writer Intern,Kushisariram Technology,Prayagraj (Work from home),"₹23,000 - ₹30,000",Part time  No test required  Freshers only
472,Typist,Kushisariram Technology,Agra (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
473,Computer Operator,Kushisariram Technology,Prayagraj (Work from home),"₹23,000 - ₹30,000",Part time  No test required  Freshers only
474,BPO Telecaller,Kushisariram Technology,Agra (Work from home),"₹22,000 - ₹30,000",Part time  No test required  Freshers only
475,Data Entry Operator,Alphabet Technology,Government Estate,"₹22,400 - ₹29,300",Part time  No test required  Freshers only
476,Field Executive,JEMKON PVT LTD,Akwada,"₹21,000 - ₹28,000",Full time  No test required  Freshers only
477,Field Sales Executive,Paytm,Behatasakat,"₹19,000 - ₹31,000",Full time  No test required  Freshers only
478,Sales Associate,Nagla Attire,Ashok Nagar,"₹23,000 - ₹30,000",Full time  No test required  Freshers only
479,Relationship Manager,Pratham Motors Private Limited,St Joseph Boys High School,"₹19,000 - ₹36,000",Full time  No test required  Freshers only
480,Food Delivery Biker,Anamika Enterprises,Andheri East,"₹25,000 - ₹27,100",Part time  No test required  Freshers only
481,Back Office Executive,Sarvoto Producer Company,Chakan Mahalunge Phata,"₹14,000 - ₹26,000",Full time  No test required  Freshers only
482,Telecaller Outbound,One Aidc Hightech,Gwalior (Work from home),"₹20,000 - ₹27,000",Part time  No test required  Freshers only
483,Telecalling Executive,Spacedge Express Solutions,Delhi-NCR (Work from home),"₹18,000 - ₹31,000",Full time  No test required  Freshers only
484,Field Executive,Aaryavart Computer Technology,Meerut,"₹19,000 - ₹26,000",Full time  No test required  Freshers only
485,Digital Marketing Executive,Gori Traders,Gorakhpur (Work from home),"₹19,000 - ₹30,000",Part time  No test required  Freshers only
486,Telecaller Cum Computer Operator,Gori Traders,Bikaner (Work from home),"₹20,000 - ₹26,000",Part time  No test required  Freshers only
487,Computer Operator,Gori Traders,Guwahati (Work from home),"₹19,000 - ₹31,000",Part time  No test required  Freshers only
488,Typist,One Aidc Hightech,Gwalior (Work from home),"₹22,000 - ₹28,000",Part time  No test required  Freshers only
489,Assistant Manager,Gori Traders,Nashik (Work from home),"₹21,000 - ₹29,600",Full time  No test required  Freshers only
490,Sales and Marketing Executive,Kushisariram Technology,Gwalior (Work from home),"₹23,000 - ₹29,000",Part time  No test required  Freshers only
491,Data Entry Operator,One Aidc Hightech,Gwalior (Work from home),"₹20,000 - ₹28,000",Part time  No test required  Freshers only
492,Front Office Receptionist,One Aidc Hightech,Gwalior (Work from home),"₹20,000 - ₹28,000",Part time  No test required  Freshers only
493,Back Office Trainee,Ahmad Fabricator,Paltan Bazaar,"₹15,500 - ₹25,500",Full time  No test required  Freshers only
494,Back Office Trainee,Ahmad Fabricator,Goshala,"₹15,500 - ₹25,500",Full time  No test required  Freshers only
495,Back Office Staff,Ahmad Fabricator,Salwad,"₹15,500 - ₹25,500",Full time  No test required  Freshers only
496,Back Office Trainee,Ahmad Fabricator,College Square,"₹15,500 - ₹25,500",Full time  No test required  Freshers only
497,Social Media Marketing,Parveen Enterprises,Mumbai (Work from home),"₹15,500 - ₹25,500",Part time  No test required  Freshers only
